filename,unix_time,nuc_frame_recv_us,frame_seq,ch,flags,newRisingEdge,newFallingEdge,count,wnR,wnF,towMsR,towSubMsR,towMsF,towSubMsF,accEst
frame_000000.jpg,1774940861,1774940861409610,4,0,149,1,1,40386,2336,2336,3994908,12828,3994918,13679,4294967295
frame_000001.jpg,1774940861,1774940861509714,5,0,149,1,1,40387,2336,2336,3995008,12820,3995018,7078,4294967295
frame_000002.jpg,1774940861,1774940861609583,6,0,149,1,1,40388,2336,2336,3995108,13453,3995118,8468,4294967295
frame_000003.jpg,1774940861,1774940861709621,7,0,149,1,1,40389,2336,2336,3995208,13765,3995218,7609,4294967295
frame_000004.jpg,1774940861,1774940861809623,8,0,149,1,1,40414,2336,2336,3997708,13398,3997718,559656,4294967295
frame_000005.jpg,1774940861,1774940861909619,9,0,149,1,1,40415,2336,2336,3997808,13710,3997818,34703,4294967295
frame_000006.jpg,1774940862,1774940862009643,10,0,149,1,1,40416,2336,2336,3997908,14617,3997918,38617,4294967295
frame_000007.jpg,1774940862,1774940862109562,11,0,149,1,1,40417,2336,2336,3998008,14328,3998018,10523,4294967295
frame_000008.jpg,1774940862,1774940862209602,12,0,149,1,1,40418,2336,2336,3998108,14640,3998118,162976,4294967295
frame_000009.jpg,1774940862,1774940862309630,13,0,149,1,1,40419,2336,2336,3998208,15554,3998218,144359,4294967295
frame_000010.jpg,1774940862,1774940862409613,14,0,149,1,1,40420,2336,2336,3998308,15265,3998318,225187,4294967295
frame_000011.jpg,1774940862,1774940862509651,15,0,149,1,1,40421,2336,2336,3998408,15570,3998418,291492,4294967295
frame_000012.jpg,1774940862,1774940862609600,16,0,149,1,1,40422,2336,2336,3998508,5109,3998518,577171,4294967295
frame_000013.jpg,1774940862,1774940862709651,17,0,149,1,1,40423,2336,2336,3998608,8070,3998618,11843,4294967295
frame_000014.jpg,1774940862,1774940862809598,18,0,149,1,1,40424,2336,2336,3998708,8382,3998718,6515,4294967295
frame_000015.jpg,1774940862,1774940862909657,19,0,149,1,1,40425,2336,2336,3998808,8687,3998818,9648,4294967295
frame_000016.jpg,1774940863,1774940863009632,20,0,149,1,1,40426,2336,2336,3998908,9000,3998918,13406,4294967295
frame_000017.jpg,1774940863,1774940863109560,21,0,149,1,1,40427,2336,2336,3999008,9312,3999018,11218,4294967295
frame_000018.jpg,1774940863,1774940863209676,22,0,149,1,1,40428,2336,2336,3999108,9296,3999118,11445,4294967295
frame_000019.jpg,1774940863,1774940863309542,23,0,149,1,1,40429,2336,2336,3999208,9609,3999218,195367,4294967295
frame_000020.jpg,1774940863,1774940863409569,24,0,149,1,1,40430,2336,2336,3999308,10242,3999318,115367,4294967295
frame_000021.jpg,1774940863,1774940863509560,25,0,149,1,1,40431,2336,2336,3999408,10554,3999418,12375,4294967295
frame_000022.jpg,1774940863,1774940863609612,26,0,149,1,1,40432,2336,2336,3999508,4804,3999518,95789,4294967295
frame_000023.jpg,1774940863,1774940863709631,27,0,149,1,1,40433,2336,2336,3999608,11179,3999618,7468,4294967295
frame_000024.jpg,1774940863,1774940863809619,28,0,149,1,1,40434,2336,2336,3999708,11484,3999718,5171,4294967295
frame_000025.jpg,1774940863,1774940863909616,29,0,149,1,1,40435,2336,2336,3999808,12398,3999818,382140,4294967295
frame_000026.jpg,1774940864,1774940864009629,30,0,149,1,1,40436,2336,2336,3999908,12109,3999918,165953,4294967295
frame_000027.jpg,1774940864,1774940864109665,31,0,149,1,1,40437,2336,2336,4000008,12093,4000018,6187,4294967295
frame_000028.jpg,1774940864,1774940864209571,32,0,149,1,1,40438,2336,2336,4000108,13328,4000118,373023,4294967295
frame_000029.jpg,1774940864,1774940864309560,33,0,149,1,1,40439,2336,2336,4000208,12718,4000218,9859,4294967295
frame_000030.jpg,1774940864,1774940864409615,34,0,149,1,1,40440,2336,2336,4000308,13351,4000318,10812,4294967295
frame_000031.jpg,1774940864,1774940864509504,35,0,149,1,1,40441,2336,2336,4000408,14265,4000418,13523,4294967295
frame_000032.jpg,1774940864,1774940864609575,36,0,149,1,1,40442,2336,2336,4000508,6882,4000518,101867,4294967295
frame_000033.jpg,1774940864,1774940864709536,37,0,149,1,1,40443,2336,2336,4000608,14281,4000618,8101,4294967295
frame_000034.jpg,1774940864,1774940864809624,38,0,149,1,1,40444,2336,2336,4000708,14593,4000718,13000,4294967295
frame_000035.jpg,1774940864,1774940864909700,39,0,149,1,1,40445,2336,2336,4000808,14906,4000818,12835,4294967295
frame_000036.jpg,1774940865,1774940865009583,40,0,149,1,1,40446,2336,2336,4000908,14890,4000918,13507,4294967295
frame_000037.jpg,1774940865,1774940865109641,41,0,149,1,1,40447,2336,2336,4001008,15523,4001018,9296,4294967295
frame_000038.jpg,1774940865,1774940865209662,42,0,149,1,1,40448,2336,2336,4001108,15835,4001118,14156,4294967295
frame_000039.jpg,1774940865,1774940865309656,43,0,149,1,1,40449,2336,2336,4001208,16148,4001218,14078,4294967295
frame_000040.jpg,1774940865,1774940865409603,44,0,149,1,1,40450,2336,2336,4001308,16460,4001318,9281,4294967295
