filename,unix_time,nuc_frame_recv_us,ch,flags,newRisingEdge,newFallingEdge,count,wnR,wnF,towMsR,towSubMsR,towMsF,towSubMsF,accEst
frame_000046.jpg,1774939601,1774939600917223,0,149,1,1,27806,2336,2336,2736908,12835,2736918,6406,4294967295
frame_000047.jpg,1774939601,1774939601017217,0,149,1,1,27807,2336,2336,2737008,13148,2737018,6671,4294967295
frame_000048.jpg,1774939601,1774939601117449,0,149,1,1,27808,2336,2336,2737108,13460,2737118,6890,4294967295
frame_000049.jpg,1774939601,1774939601217170,0,149,1,1,27809,2336,2336,2737208,13773,2737218,7289,4294967295
frame_000050.jpg,1774939601,1774939601317265,0,149,1,1,27810,2336,2336,2737308,14085,2737318,7656,4294967295
frame_000051.jpg,1774939601,1774939601417164,0,149,1,1,27811,2336,2336,2737408,14390,2737418,12578,4294967295
frame_000052.jpg,1774939601,1774939601517224,0,149,1,1,27812,2336,2336,2737508,5007,2737518,100953,4294967295
frame_000053.jpg,1774939601,1774939601617245,0,149,1,1,27813,2336,2336,2737608,6890,2737618,7812,4294967295
frame_000054.jpg,1774939601,1774939601717214,0,149,1,1,27814,2336,2336,2737708,6874,2737718,9039,4294967295
frame_000055.jpg,1774939601,1774939601817277,0,149,1,1,27815,2336,2336,2737808,7515,2737818,9210,4294967295
frame_000056.jpg,1774939602,1774939601917298,0,149,1,1,27816,2336,2336,2737908,7828,2737918,11882,4294967295
frame_000057.jpg,1774939602,1774939602017221,0,149,1,1,27817,2336,2336,2738008,8140,2738018,9921,4294967295
frame_000058.jpg,1774939602,1774939602117395,0,149,1,1,27818,2336,2336,2738108,8125,2738118,10140,4294967295
frame_000059.jpg,1774939602,1774939602217209,0,149,1,1,27819,2336,2336,2738208,8757,2738218,10593,4294967295
frame_000060.jpg,1774939602,1774939602317278,0,149,1,1,27820,2336,2336,2738308,9671,2738318,14875,4294967295
frame_000061.jpg,1774939602,1774939602417399,0,149,1,1,27821,2336,2336,2738408,9382,2738418,11218,4294967295
frame_000062.jpg,1774939602,1774939602517317,0,149,1,1,27822,2336,2336,2738508,5171,2738518,96265,4294967295
frame_000063.jpg,1774939602,1774939602617289,0,149,1,1,27823,2336,2336,2738608,10007,2738618,11703,4294967295
frame_000064.jpg,1774939602,1774939602717151,0,149,1,1,27824,2336,2336,2738708,10312,2738718,11960,4294967295
frame_000065.jpg,1774939602,1774939602817346,0,149,1,1,27825,2336,2336,2738808,10625,2738818,12273,4294967295
frame_000066.jpg,1774939603,1774939602917343,0,149,1,1,27826,2336,2336,2738908,11539,2738918,9085,4294967295
frame_000067.jpg,1774939603,1774939603017360,0,149,1,1,27827,2336,2336,2739008,11249,2739018,7171,4294967295
frame_000068.jpg,1774939603,1774939603117420,0,149,1,1,27828,2336,2336,2739108,11562,2739118,13257,4294967295
frame_000069.jpg,1774939603,1774939603217186,0,149,1,1,27829,2336,2336,2739208,12476,2739218,13515,4294967295
frame_000070.jpg,1774939603,1774939603317327,0,149,1,1,27830,2336,2336,2739308,11859,2739318,9601,4294967295
frame_000071.jpg,1774939603,1774939603417309,0,149,1,1,27831,2336,2336,2739408,12492,2739418,247078,4294967295
frame_000072.jpg,1774939603,1774939603517345,0,149,1,1,27832,2336,2336,2739508,5781,2739518,102312,4294967295
frame_000073.jpg,1774939603,1774939603617309,0,149,1,1,27833,2336,2336,2739608,13117,2739618,6679,4294967295
frame_000074.jpg,1774939603,1774939603717291,0,149,1,1,27834,2336,2336,2739708,13429,2739718,7078,4294967295
frame_000075.jpg,1774939603,1774939603817233,0,149,1,1,27835,2336,2336,2739808,13742,2739818,13710,4294967295
frame_000076.jpg,1774939604,1774939603917226,0,149,1,1,27836,2336,2336,2739908,14054,2739918,7609,4294967295
frame_000077.jpg,1774939604,1774939604017278,0,149,1,1,27837,2336,2336,2740008,14367,2740018,8007,4294967295
frame_000078.jpg,1774939604,1774939604117241,0,149,1,1,27838,2336,2336,2740108,14679,2740118,8367,4294967295
frame_000079.jpg,1774939604,1774939604217200,0,149,1,1,27839,2336,2336,2740208,14984,2740218,536906,4294967295
frame_000080.jpg,1774939604,1774939604317244,0,149,1,1,27840,2336,2336,2740308,15296,2740318,27054,4294967295
